"rank","name","pop2021","pop2010","change","density"
"470","Anderson","10918","9976","0.0944","599.5343"
"471","Piedmont","10903","10711","0.0179","2476.8512"
"472","Soquel","10883","9644","0.1285","913.8697"
"473","La Riviera","10840","10802","0.0035","2203.0774"
"474","Shasta Lake","10767","10145","0.0613","380.5965"
"475","Rio Vista","10742","7383","0.4550","630.1143"
"476","Farmersville","10651","10585","0.0062","1835.6261"
"477","Sierra Madre","10621","10917","-0.0271","1388.9161"
"478","Sonoma","10618","10668","-0.0047","1494.2597"
"479","Fairview","10532","10003","0.0529","1478.0925"
"480","San Diego Country Estates","10514","10109","0.0401","241.8613"
"481","Morro Bay","10511","10244","0.0261","762.2245"
"482","Oak Hills","10444","8879","0.1763","165.6059"
"483","Exeter","10439","10341","0.0095","1636.3993"
"484","Rodeo","10409","8679","0.1993","1074.0439"
"485","East Whittier","10356","0","","3666.7103"
"486","Orange Cove","10247","9750","0.0510","2208.0483"
"487","Citrus","10150","10866","-0.0659","4418.7110"
"488","Charter Oak","10048","9310","0.0793","4181.3355"
"489","Quartz Hill","10003","10912","-0.0833","1026.1855"
"490","Del Aire","9990","10001","-0.0011","3811.4060"
"491","Country Club","9977","9379","0.0638","2009.5675"
"492","Garden Acres","9972","10648","-0.0635","1489.7434"
"493","Malibu","9946","12639","-0.2131","193.4914"
"494","Capitola","9884","9925","-0.0041","2395.4128"
"495","Fort Irwin","9872","8845","0.1161","547.2162"
"496","Madera Acres","9857","9163","0.0757","522.7015"
"497","Marina del Rey","9852","8866","0.1112","4435.1608"
"498","Mentone","9793","8720","0.1231","618.7684"
"499","West Athens","9706","8729","0.1119","2804.0758"
"500","Rio del Mar","9657","9216","0.0479","1242.8092"
